date,week_of_block,sport,session_type,planned_duration_min,target_hr_low,target_hr_high,segments,lift_focus,notes
2026-08-11,2,run,endurance,35,117,137,,,Easy Z2
2026-08-12,2,strength,strength,45,,,,lower + prehab,Squat pattern focus
2026-08-13,2,run,endurance,40,117,137,,,
2026-08-14,2,,rest,0,,,,,
2026-08-15,2,bike,endurance,180,110,160,"15min warmup Z1 | 145min steady <160bpm | 20min surge 170-180bpm",,Long ride with hard finish
2026-08-16,2,run,interval,50,117,176,,,DO NOT use during base block — conflict check demo
2026-08-17,2,,rest,0,,,,,
2026-08-18,3,run,endurance,45,117,137,,,
2026-08-20,3,run,endurance,50,117,137,,,
2026-08-22,3,bike,endurance,120,110,155,,,
